,월,일,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상),,,,,,,,,,,,,,,,,,,,,
,,29일,4693,2061,838,1664,312,422,111,490,***,732,232,326,171,427,524,307,524,59,487,,,,,,,,,,,,,,,,,,,,,
,,평균값,3142,1230,527,1168,130,9989,9957,9908,***,9967,9972,9981,9964,9951,9999,22,9999,9987,9939,,,,,,,,,,,,,,,,,,,,,
,,최댓값,5797,9987,1000,9988,382,507,154,629,***,963,984,381,236,545,607,999,607,84,990,,,,,,,,,,,,,,,,,,,,,
,,최솟값,2106,100,100,100,65,82,12,111,***,324,0,153,42,93,213,0,213,0,0,,,,,,,,,,,,,,,,,,,,,
,3월,01일,3642,1437,683,1407,117,309,68,371,***,581,199,293,173,278,421,297,421,54,369,,,,,,,,,,,,,,,,,,,,,
,,02일,3314,1368,650,1266,129,264,58,339,***,566,185,318,133,268,398,283,398,55,299,,,,,,,,,,,,,,,,,,,,,
,,03일,3300,1381,591,1295,114,281,57,404,***,512,179,288,116,260,402,278,402,67,307,,,,,,,,,,,,,,,,,,,,,
,,04일,6213,2676,1000,2124,316,559,107,828,***,846,268,403,246,490,637,325,637,64,724,,,,,,,,,,,,,,,,,,,,,
,,05일,5792,2528,996,1984,283,555,109,679,***,804,263,364,212,486,608,315,608,62,665,,,,,,,,,,,,,,,,,,,,,
,,06일,5602,2499,969,1881,311,497,105,658,***,816,258,364,216,462,552,322,552,55,622,,,,,,,,,,,,,,,,,,,,,
,,07일,5573,2509,935,1910,303,506,120,669,***,866,291,376,198,466,613,297,613,53,651,,,,,,,,,,,,,,,,,,,,,
,,08일,5191,2180,955,1791,273,428,109,589,***,754,252,351,196,479,534,298,534,76,525,,,,,,,,,,,,,,,,,,,,,
,,09일,3467,1563,588,1214,114,265,60,561,***,532,171,274,125,267,375,237,375,28,330,,,,,,,,,,,,,,,,,,,,,
,,10일,3034,1257,529,1225,110,267,79,314,***,482,175,273,133,190,389,230,389,62,329,,,,,,,,,,,,,,,,,,,,,
,,11일,5960,2631,1000,1964,296,558,116,779,***,852,282,384,241,503,620,281,620,73,649,,,,,,,,,,,,,,,,,,,,,
,,12일,5465,2415,967,1830,299,503,115,646,***,772,296,381,223,453,550,277,550,64,610,,,,,,,,,,,,,,,,,,,,,
,,13일,5186,2245,936,1755,279,509,126,611,***,734,253,365,186,449,557,260,557,65,570,,,,,,,,,,,,,,,,,,,,,
,,14일,4863,2072,861,1718,273,461,98,539,***,709,227,357,191,393,518,263,518,49,556,,,,,,,,,,,,,,,,,,,,,
,,15일,4595,1877,875,1564,267,369,101,497,***,643,203,355,191,381,473,273,473,50,463,,,,,,,,,,,,,,,,,,,,,
,,16일,2920,1214,500,1122,105,233,48,380,***,503,119,270,114,187,327,223,327,39,289,,,,,,,,,,,,,,,,,,,,,
,,17일,2758,1092,480,1122,118,235,52,293,***,496,139,285,118,983,355,229,355,43,252,,,,,,,,,,,,,,,,,,,,,
,,18일,5044,2135,871,1738,289,438,115,658,***,723,236,348,195,404,526,283,526,58,563,,,,,,,,,,,,,,,,,,,,,
,,19일,5144,2138,963,1766,300,452,108,568,***,674,237,354,229,451,527,259,527,57,579,,,,,,,,,,,,,,,,,,,,,
,,20일,5271,2261,940,1755,281,489,97,624,***,756,248,364,231,442,522,258,522,51,581,,,,,,,,,,,,,,,,,,,,,
,,21일,5110,2197,917,1806,271,469,97,630,***,675,253,378,190,429,517,256,517,59,578,,,,,,,,,,,,,,,,,,,,,
,,22일,4477,1831,845,1539,243,382,104,475,***,639,218,337,174,380,454,243,454,53,479,,,,,,,,,,,,,,,,,,,,,
,,23일,2919,1246,505,1128,159,221,55,394,***,513,143,290,113,172,321,215,321,27,246,,,,,,,,,,,,,,,,,,,,,
,,24일,2539,984,457,1086,112,186,46,229,***,415,136,276,107,136,344,215,344,26,249,,,,,,,,,,,,,,,,,,,,,
,,25일,4620,1898,793,1670,274,419,86,462,***,608,232,363,162,353,492,288,492,52,511,,,,,,,,,,,,,,,,,,,,,
,,26일,4984,2093,912,1688,281,419,96,533,***,683,247,360,214,418,480,301,480,46,529,,,,,,,,,,,,,,,,,,,,,
,,27일,3837,1467,645,1433,254,306,62,296,***,545,195,315,142,285,431,277,431,45,379,,,,,,,,,,,,,,,,,,,,,
,,28일,3958,1517,681,1521,257,280,56,320,***,560,188,308,138,297,460,286,460,53,388,,,,,,,,,,,,,,,,,,,,,
,,29일,3893,1525,706,1414,274,290,58,325,***,525,194,319,137,314,434,292,434,53,341,,,,,,,,,,,,,,,,,,,,,
,,30일,2755,955,439,1145,93,178,35,238,***,401,136,228,113,151,321,248,321,29,227,,,,,,,,,,,,,,,,,,,,,
,,31일,2383,911,400,1045,87,182,29,216,***,382,127,229,92,124,310,243,310,15,233,,,,,,,,,,,,,,,,,,,,,
,,평균값,3090,1174,513,1171,126,9760,9919,9727,***,9650,9895,9904,9920,9697,9786,9936,9786,9957,9746,,,,,,,,,,,,,,,,,,,,,
,,최대값,6213,2676,1000,2124,316,559,126,828,***,866,296,403,246,983,637,325,637,76,724,,,,,,,,,,,,,,,,,,,,,
,,최소값,1896,0,100,775,0,0,0,0,***,0,0,145,10,12,226,142,226,1,155,,,,,,,,,,,,,,,,,,,,,
,4월,01일,3938,1490,684,1466,241,284,52,302,***,535,204,310,136,305,449,236,449,41,399,,,,,,,,,,,,,,,,,,,,,
,,02일,3748,1441,654,1377,234,274,53,301,***,539,191,314,143,261,415,239,415,38,376,,,,,,,,,,,,,,,,,,,,,
,,03일,3699,1420,636,1379,234,263,52,278,***,543,185,313,144,262,412,249,412,24,366,,,,,,,,,,,,,,,,,,,,,
,,04일,3624,1393,616,1327,233,260,55,284,***,537,176,310,131,248,411,272,411,31,351,,,,,,,,,,,,,,,,,,,,,
,,05일,3496,1309,633,1318,214,250,56,272,***,503,156,307,108,239,386,267,386,46,341,,,,,,,,,,,,,,,,,,,,,
,,06일,2455,899,389,1045,95,183,35,202,***,414,100,233,85,980,294,237,294,16,253,,,,,,,,,,,,,,,,,,,,,
,,07일,2327,843,392,1033,95,183,27,169,***,397,99,231,89,992,309,236,309,14,223,,,,,,,,,,,,,,,,,,,,,
,,08일,3683,1392,623,1393,242,282,64,263,***,517,175,312,139,267,409,273,409,27,354,,,,,,,,,,,,,,,,,,,,,
,,09일,3652,1363,619,1392,231,270,62,250,***,549,160,302,145,250,418,270,418,24,343,,,,,,,,,,,,,,,,,,,,,
,,10일,2573,950,445,1130,92,195,39,186,***,414,116,269,117,119,335,251,335,25,257,,,,,,,,,,,,,,,,,,,,,
,,11일,3653,1373,624,1452,218,265,59,269,***,514,162,315,126,243,415,288,415,50,345,,,,,,,,,,,,,,,,,,,,,
,,12일,3463,1277,583,1332,201,245,51,238,***,528,150,300,121,226,376,269,376,25,321,,,,,,,,,,,,,,,,,,,,,
,,13일,2691,948,417,1079,90,189,34,199,***,429,115,251,83,132,303,252,303,17,244,,,,,,,,,,,,,,,,,,,,,
,,14일,2480,935,433,1148,89,194,27,182,***,438,109,262,111,121,317,251,317,16,242,,,,,,,,,,,,,,,,,,,,,
,,15일,3825,1415,629,1489,248,264,67,275,***,531,173,319,110,260,425,279,425,56,373,,,,,,,,,,,,,,,,,,,,,
,,16일,3690,1377,644,1388,222,258,64,278,***,528,170,331,112,241,414,259,414,30,359,,,,,,,,,,,,,,,,,,,,,
,,17일,3663,1362,597,1351,222,256,62,280,***,543,158,324,130,228,393,236,393,28,358,,,,,,,,,,,,,,,,,,,,,
,,18일,4493,1737,812,1571,280,278,68,433,***,569,169,322,135,384,475,242,475,47,418,,,,,,,,,,,,,,,,,,,,,
,,19일,3374,1263,574,1246,184,236,64,231,***,525,143,298,124,232,383,223,383,19,309,,,,,,,,,,,,,,,,,,,,,
,,20일,2699,984,413,1060,92,196,33,205,***,433,978,249,96,128,319,198,319,16,253,,,,,,,,,,,,,,,,,,,,,
,,21일,2546,935,431,1078,90,201,30,182,***,425,125,260,93,118,323,196,323,17,259,,,,,,,,,,,,,,,,,,,,,
,,22일,3568,1312,607,1339,218,259,64,244,***,564,147,326,116,230,415,245,415,21,323,,,,,,,,,,,,,,,,,,,,,
