월,일,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상)
,13일,4874,1874,818,1790,255,455,127,395,***,730,124,434,179,264,523,312,523,47,472
,14일,5192,2001,886,1904,238,463,125,446,***,763,128,426,182,314,574,293,574,52,535
,15일,5206,2030,856,1986,258,486,111,439,***,751,143,433,202,283,584,324,584,50,512
,16일,5088,1906,870,1897,235,493,112,366,***,850,126,434,185,297,593,294,593,56,513
,17일,3188,1171,570,1236,96,308,72,213,***,537,89,359,132,158,364,215,364,43,302
,18일,2988,1183,574,1220,105,270,60,233,***,526,87,352,138,140,370,213,370,45,290
,19일,5321,2064,865,1963,252,509,129,426,***,797,126,452,181,278,600,333,600,40,546
,20일,5196,1982,874,1937,257,473,113,374,***,825,130,470,185,276,580,309,580,50,530
,21일,5529,2207,950,1999,269,526,122,484,***,889,137,465,208,328,596,309,596,50,565
,22일,5619,2373,913,1951,276,522,130,505,***,960,140,475,196,293,619,288,619,56,519
,23일,5361,2100,915,1972,261,509,120,451,***,807,142,457,203,294,604,316,604,53,529
,24일,3541,1388,647,1353,98,362,53,337,***,586,99,358,157,181,400,253,400,40,320
,25일,3298,1355,596,1309,92,335,87,324,***,547,99,375,132,146,376,256,376,49,315
,26일,5782,2239,993,2072,247,534,130,542,***,847,151,479,229,339,628,311,628,50,578
,27일,5653,2212,942,2064,261,520,138,518,***,834,133,482,199,313,617,315,617,60,600
,28일,5538,2180,956,2025,254,522,123,509,***,801,134,470,201,319,626,319,626,53,532
,29일,5384,2133,913,1998,260,500,126,524,***,823,131,445,218,306,629,314,629,55,541
,30일,5391,2115,941,1931,250,515,109,458,***,820,148,444,227,313,582,298,582,55,527
,31일,3363,1284,642,1285,95,318,54,311,***,560,90,367,156,167,387,223,387,42,325
,평균값,3051,1161,481,1179,103,9978,9965,9989,***,9843,9974,9952,9995,9916,9902,9969,9902,9996,9904
,최대값,5782,2373,993,2072,276,534,138,542,***,960,151,482,229,339,629,333,629,60,600
,최소값,1739,666,232,717,48,100,10,82,***,330,42,130,26,45,193,111,193,4,152
8월,01일,2947,1185,576,1167,84,305,66,258,***,518,86,356,126,151,344,204,344,40,279
,02일,4979,1947,837,1798,234,453,117,405,***,739,126,445,181,284,551,276,551,51,502
,03일,5246,2061,893,1880,252,454,114,450,***,789,123,444,187,304,549,298,549,50,534
,04일,5227,2017,886,1908,245,500,100,470,***,761,143,461,195,276,566,287,566,55,534
,05일,5295,2152,895,1867,263,475,118,436,***,857,138,458,197,307,583,297,583,55,496
,06일,5137,2014,852,1849,241,466,123,449,***,745,142,442,172,275,568,282,568,57,508
,07일,3253,1231,576,1204,89,299,71,258,***,555,110,351,126,137,344,228,344,34,295
,08일,2987,1231,562,1156,85,322,68,290,***,542,81,382,128,117,358,206,358,38,267
,09일,5387,2084,933,1962,253,483,118,417,***,824,143,479,186,294,613,308,613,50,511
,10일,5130,1978,854,1923,253,472,124,440,***,765,135,438,195,281,599,287,599,55,520
,11일,5111,1981,842,1872,251,426,105,405,***,754,127,434,181,281,566,316,566,49,516
,12일,5157,1986,873,1896,271,433,112,442,***,782,124,458,196,265,572,316,572,60,500
,13일,4703,1820,820,1679,257,432,114,386,***,695,127,427,163,259,528,253,528,55,453
,14일,2956,1127,568,1028,89,271,63,220,***,495,88,340,127,151,294,189,294,71,257
,15일,1845,827,304,674,69,186,38,118,***,438,68,175,75,88,236,1000,236,33,170
,16일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,17일,2953,1666,1185,1458,773,906,756,897,***,1137,765,993,809,808,944,836,944,729,872
,18일,4340,3053,2571,2845,2160,2293,2143,2284,***,2523,2151,2379,2195,2195,2331,2223,2331,2116,2259
,19일,5726,4439,3957,4231,3546,3679,3529,3670,***,3910,3538,3765,3581,3581,3717,3609,3717,3502,3645
,20일,7111,5824,5343,5617,4931,5064,4914,5055,***,5295,4923,5151,4967,4967,5103,4995,5103,4888,5031
,21일,8497,7210,6729,7003,6317,6450,6300,6441,***,6681,6309,6537,6353,6353,6489,6381,6488,6273,6416
,22일,9882,8595,8113,8387,7702,7835,7685,7826,***,8066,7694,7921,7737,7737,7873,7765,7873,7658,7801
,23일,10000,9981,9499,9773,9088,9221,9071,9212,***,9452,9080,9307,9123,9123,9259,9151,9259,9044,9187
,24일,2653,11367,10000,10000,10000,10000,9999,10000,***,10000,10000,9999,9999,9999,10000,9999,10000,10000,10000
,25일,4039,12753,2270,2544,1859,1992,1843,1983,***,2222,1850,2079,1895,1895,2030,1923,2030,1815,1958
,26일,5425,14139,3656,3930,3245,3377,3228,3368,***,3608,3236,3465,3281,3281,3416,3309,3416,3201,3344
,27일,6810,15524,5042,5316,4630,4763,4614,4754,***,4994,4622,4851,4667,4667,4802,4695,4802,4587,4730
,28일,8197,16911,6428,6702,6017,6149,6000,6140,***,6380,6008,6237,6053,6053,6188,6081,6188,5973,6116
,29일,9583,18297,7814,8088,7403,7536,7387,7527,***,7767,7395,7623,7439,7439,7574,7467,7574,7359,7502
,30일,10000,19682,9200,9474,8788,8921,8772,8912,***,9152,8780,9009,8825,8825,8960,8853,8959,8744,8887
,31일,2353,21068,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,평균값,3940,5915,2654,2994,2462,9682,9946,9689,***,9440,9910,9633,9844,9833,9613,9777,9613,9958,9675
,최대값,10000,21068,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,최소값,0,614,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
9월,01일,3740,22455,1972,2246,1560,1693,1544,1684,***,1924,1552,1781,1597,1597,1732,1624,1731,1516,1659
,02일,5127,23842,3358,3632,2947,3080,2931,3071,***,3311,2939,3167,2983,2983,3118,3011,3118,2903,3046
,03일,6513,25228,4745,5019,4333,4466,4317,4457,***,4697,4325,4554,4370,4370,4505,4398,4505,4289,4432
,04일,7900,26615,6131,6405,5720,5853,5704,5844,***,6083,5711,5940,5756,5756,5891,5784,5891,5676,5819
,05일,9286,28001,7517,7791,7106,7239,7090,7230,***,7470,7098,7326,7142,7142,7277,7170,7277,7062,7205
,06일,10000,29387,8903,9177,8492,8625,8476,8616,***,8856,8484,8712,8528,8528,8663,8556,8663,8448,8591
,07일,2057,30773,10000,10000,9878,10000,9862,10000,***,10000,9870,10000,9915,9915,10000,9943,10000,9835,9978
,08일,3443,32159,1675,1949,10000,1396,10000,1387,***,1627,10000,1484,10000,10000,1435,10000,1435,10000,10000
,09일,4830,33546,3061,3335,2649,2782,2633,2773,***,3013,2641,2870,2686,2686,2821,2714,2821,2606,2749
,10일,6216,34932,4447,4721,4036,4169,4020,4160,***,4400,4028,4256,4072,4072,4207,4100,4207,3992,4135
,11일,7602,36318,5833,6107,5422,5555,5406,5546,***,5786,5414,5642,5458,5458,5593,5486,5593,5378,5521
,12일,8988,37704,7220,7494,6808,6941,6792,6932,***,7172,6800,7029,6845,6845,6980,6873,6980,6765,6908
,13일,10000,39091,8606,8880,8195,8328,8179,8318,***,8558,8186,8415,8231,8231,8366,8259,8366,8151,8294
,14일,1760,40477,9992,10000,9581,9714,9565,9705,***,9945,9573,9801,9617,9617,9752,9645,9752,9537,9680
,15일,3147,41864,10000,1652,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,16일,4533,43250,2764,3038,2353,2486,2337,2477,***,2717,2345,2573,2389,2389,2524,2417,2524,2309,2452
,17일,5920,44637,4151,4425,3740,3873,3724,3864,***,4103,3731,3960,3776,3776,3911,3804,3911,3696,3839
